Date,Price_In,Price_Out,Probability,Signal,Actual_Return,Target,Strategy_Return,Cum_Market,Cum_Strategy
2025-08-28,25201.759765625,24998.8203125,0.5033204555511475,1,-0.008052590573528433,0,-0.008052590573528433,1.0035402336304866,1.0035402336304866
2025-08-29,24998.8203125,25077.619140625,0.5037298202514648,1,0.0031521018648067458,1,0.0031521018648067458,1.006703494672322,1.006703494672322
2025-09-01,25077.619140625,25617.419921875,0.5039317011833191,1,0.021525200547269606,1,0.021525200547269606,1.0283729892867808,1.0283729892867808
2025-09-02,25617.419921875,25496.55078125,0.5035407543182373,1,-0.00471824020504846,0,-0.00471824020504846,1.0235208785029422,1.0235208785029422
2025-09-03,25496.55078125,25343.4296875,0.503182590007782,1,-0.006005561107606926,0,-0.006005561107606926,1.0173740613221811,1.0173740613221811
2025-09-04,25343.4296875,25058.509765625,0.5027410984039307,1,-0.011242358488501242,0,-0.011242358488501242,1.0059363774078947,1.0059363774078947
2025-09-05,25058.509765625,25417.98046875,0.5022468566894531,1,0.0143452546255611,1,0.0143452546255611,1.0203667908789256,1.0203667908789256
2025-09-08,25417.98046875,25633.91015625,0.5015892386436462,1,0.008495155142851478,1,0.008495155142851478,1.0290349650700554,1.0290349650700554
2025-09-09,25633.91015625,25938.130859375,0.5012742877006531,1,0.011867900810708959,1,0.011867900810708959,1.0412474499662583,1.0412474499662583
2025-09-10,25938.130859375,26200.259765625,0.500887930393219,1,0.010105928899470292,1,0.010105928899470292,1.051770222662372,1.051770222662372
2025-09-11,26200.259765625,26086.3203125,0.5006033182144165,1,-0.0043487909717021085,0,-0.0043487909717021085,1.0471962938137527,1.0471962938137527
2025-09-12,26086.3203125,26388.16015625,0.5009632110595703,1,0.011570809532893947,1,0.011570809532893947,1.059313202673024,1.059313202673024
2025-09-15,26388.16015625,26446.560546875,0.5011405944824219,1,0.002213128550046637,1,0.002213128550046637,1.061657598965301,1.061657598965301
2025-09-16,26446.560546875,26438.509765625,0.5011963248252869,1,-0.00030441694812187225,0,-0.00030441694812187225,1.0613344123990736,1.0613344123990736
2025-09-17,26438.509765625,26908.390625,0.5012302994728088,1,0.01777259246230031,1,0.01777259246230031,1.0801970763768571,1.0801970763768571
2025-09-18,26908.390625,26544.849609375,0.5011695027351379,1,-0.013510321768825592,0,-0.013510321768825592,1.0656032663012611,1.0656032663012611
