Date,Close,High,Low,Open,Volume
,^HSI,^HSI,^HSI,^HSI,^HSI
2015-04-17,27653.119140625,27969.41015625,27597.6796875,27808.240234375,3105800000
2015-04-20,27094.9296875,27770.7890625,26959.76953125,27770.7890625,3375900000
2015-04-21,27850.490234375,27925.359375,27404.150390625,27404.150390625,2737800000
2015-04-22,27933.849609375,28048.4609375,27727.859375,27821.3203125,2367900000
2015-04-23,27827.69921875,28213.630859375,27804.029296875,28112.380859375,2442200000
2015-04-24,28060.98046875,28089.369140625,27591.5703125,27978.390625,2414000000
2015-04-27,28433.58984375,28588.51953125,28245.140625,28245.140625,2790100000
2015-04-28,28442.75,28548.44921875,28251.990234375,28448.220703125,3045500000
2015-04-29,28400.33984375,28453.099609375,28201.759765625,28453.099609375,2094900000
2015-04-30,28133.0,28317.869140625,27997.900390625,28289.140625,2561300000
2015-05-04,28123.8203125,28343.740234375,28017.19921875,28231.259765625,1999700000
2015-05-05,27755.5390625,28316.630859375,27598.169921875,28295.720703125,2292700000
2015-05-06,27640.91015625,28054.6796875,27570.41015625,27698.099609375,2265500000
2015-05-07,27289.970703125,27604.490234375,27207.279296875,27567.619140625,1894800000
2015-05-08,27577.33984375,27652.619140625,27367.109375,27557.51953125,1817600000
2015-05-11,27718.19921875,27837.279296875,27582.23046875,27837.0390625,1541000000
2015-05-12,27407.1796875,27693.630859375,27395.91015625,27664.1796875,1530000000
2015-05-13,27249.279296875,27524.8203125,27191.029296875,27473.5,2088800000
2015-05-14,27286.55078125,27397.669921875,27192.9296875,27395.919921875,1522200000
2015-05-15,27822.279296875,27928.599609375,27315.099609375,27459.580078125,1754100000
2015-05-18,27591.25,27792.439453125,27435.5703125,27792.439453125,1378800000
2015-05-19,27693.5390625,27765.55078125,27500.759765625,27597.0703125,1559500000
2015-05-20,27585.05078125,27751.439453125,27490.330078125,27751.439453125,1470400000
2015-05-21,27523.720703125,27611.720703125,27393.310546875,27507.3203125,1221500000
2015-05-22,27992.830078125,28041.3203125,27696.970703125,27723.669921875,1899400000
2015-05-26,28249.859375,28524.599609375,28237.490234375,28462.3203125,2672100000
2015-05-27,28081.2109375,28214.66015625,27982.140625,28214.66015625,1863600000
2015-05-28,27454.310546875,28162.25,27242.109375,28162.25,3066700000
2015-05-29,27424.189453125,27604.26953125,27255.890625,27398.279296875,3050200000
2015-06-01,27597.16015625,27766.3203125,27241.94921875,27373.060546875,1972900000
2015-06-02,27466.720703125,27602.880859375,27348.130859375,27473.44921875,1502000000
2015-06-03,27657.470703125,27767.23046875,27508.83984375,27716.33984375,1735700000
2015-06-04,27551.890625,27854.740234375,27094.5,27645.359375,3066100000
2015-06-05,27260.16015625,27646.720703125,27211.359375,27538.060546875,2228900000
2015-06-08,27316.279296875,27428.58984375,27060.240234375,27147.240234375,2391700000
2015-06-09,26989.51953125,27322.140625,26971.5703125,27295.880859375,2384100000
2015-06-10,26687.640625,27116.919921875,26573.9609375,27052.7890625,1977400000
2015-06-11,26907.849609375,26991.509765625,26839.4296875,26938.150390625,1670600000
2015-06-12,27280.5390625,27356.509765625,26987.51953125,27082.599609375,1734200000
2015-06-15,26861.810546875,27131.359375,26841.51953125,27095.1796875,1324700000
2015-06-16,26566.69921875,26892.880859375,26553.0390625,26807.669921875,1761900000
2015-06-17,26753.7890625,26880.7890625,26555.9609375,26671.19921875,1819400000
2015-06-18,26694.66015625,26873.669921875,26595.9609375,26786.529296875,1470000000
2015-06-19,26760.529296875,27011.94921875,26701.720703125,26885.73046875,2497600000
2015-06-22,27080.849609375,27166.51953125,26811.66015625,26854.3203125,1429200000
2015-06-23,27333.4609375,27406.41015625,27008.509765625,27126.470703125,2138100000
2015-06-24,27404.970703125,27470.5,27292.849609375,27397.369140625,1659100000
2015-06-25,27145.75,27350.490234375,27120.720703125,27329.169921875,1908100000
2015-06-26,26663.869140625,27016.08984375,26522.44921875,27016.08984375,2473400000
2015-06-29,25966.98046875,26631.509765625,25617.779296875,26560.130859375,3023200000
2015-06-30,26250.029296875,26470.439453125,25885.66015625,25944.029296875,2480800000
2015-07-02,26282.3203125,26459.4296875,26135.619140625,26459.4296875,2185400000
2015-07-03,26064.109375,26402.849609375,25933.119140625,26349.83984375,1888900000
2015-07-06,25236.279296875,26261.529296875,24750.310546875,26083.990234375,3514100000
2015-07-07,24975.310546875,25439.33984375,24819.259765625,25391.759765625,3020400000
2015-07-08,23516.560546875,24411.30078125,22836.8203125,24411.30078125,5441400000
2015-07-09,24392.7890625,24695.75,23332.900390625,23435.5,4266900000
2015-07-10,24901.279296875,25015.169921875,24567.919921875,24567.919921875,3230900000
2015-07-13,25224.009765625,25275.759765625,24596.439453125,24709.580078125,2124800000
2015-07-14,25120.91015625,25250.94921875,24906.470703125,25184.060546875,2129800000
2015-07-15,25055.759765625,25219.44921875,24862.650390625,25219.44921875,1603500000
2015-07-16,25162.779296875,25170.349609375,24841.140625,24976.080078125,1386200000
2015-07-17,25415.26953125,25517.44921875,25183.859375,25246.640625,1279500000
2015-07-20,25404.810546875,25540.310546875,25298.9609375,25540.310546875,1088200000
2015-07-21,25536.4296875,25634.3203125,25342.689453125,25428.880859375,1125400000
2015-07-22,25282.619140625,25401.7890625,25177.599609375,25401.7890625,1298900000
2015-07-23,25398.849609375,25500.990234375,25250.359375,25308.55078125,1130600000
2015-07-24,25128.509765625,25279.94921875,25073.19921875,25279.94921875,1134600000
2015-07-27,24351.9609375,24908.580078125,24282.2109375,24906.779296875,2317700000
2015-07-28,24503.939453125,24947.349609375,24140.619140625,24269.900390625,2134200000
2015-07-29,24619.44921875,24718.640625,24444.470703125,24630.439453125,1350600000
2015-07-30,24497.98046875,24872.69921875,24478.0703125,24822.419921875,1488200000
2015-07-31,24636.279296875,24661.189453125,24467.830078125,24650.9296875,1363700000
2015-08-03,24411.419921875,24533.140625,24232.599609375,24533.140625,1467000000
2015-08-04,24406.119140625,24519.349609375,24217.779296875,24364.41015625,1225500000
2015-08-05,24514.16015625,24582.189453125,24420.94921875,24466.30078125,1105400000
2015-08-06,24375.279296875,24527.740234375,24320.75,24527.740234375,977500000
2015-08-07,24552.470703125,24641.9296875,24327.560546875,24327.560546875,1106900000
2015-08-10,24521.119140625,24602.669921875,24135.640625,24433.66015625,1211600000
2015-08-11,24498.2109375,24924.0703125,24420.7109375,24694.779296875,1608400000
2015-08-12,23916.01953125,24324.189453125,23826.9609375,24269.109375,1851600000
2015-08-13,24018.80078125,24133.869140625,23860.8203125,23935.48046875,1716700000
2015-08-14,23991.029296875,24126.30078125,23957.359375,24055.01953125,1198100000
2015-08-17,23814.650390625,23950.5703125,23699.83984375,23945.599609375,1197800000
2015-08-18,23474.970703125,24024.369140625,23464.349609375,23956.859375,1454300000
2015-08-19,23167.849609375,23586.7890625,23138.73046875,23555.01953125,1914800000
2015-08-20,22757.470703125,23033.970703125,22610.529296875,22973.869140625,2339000000
2015-08-21,22409.619140625,22492.7890625,22185.849609375,22343.25,2490600000
