Date,Close,High,Low,Open,Volume,sentiment_score,Sentiment_MA7,Sentiment_Momentum,Return_1D,Volatility_10D,Return,Target
2015-04-13,28016.33984375,28031.9609375,27304.119140625,27374.330078125,4727100000.0,0.070534816943109,-0.20178720993655067,0.2723220268796597,0.027278474739505842,0.013324030606711779,0.027278474739505842,0
2015-04-14,27561.490234375,27915.009765625,27483.44921875,27688.259765625,3774100000.0,0.2413774896413087,-0.16730471141636372,0.4086822010576724,-0.01623515462447067,0.01577729985873532,-0.01623515462447067,1
2015-04-15,27618.8203125,27807.98046875,27442.51953125,27693.25,3926500000.0,0.0935484608635306,-0.02697161731443234,0.12052007817796294,0.002080079039176841,0.015575569986260534,0.002080079039176841,1
2015-04-16,27739.7109375,27787.98046875,27470.099609375,27557.2890625,3269700000.0,0.0165528822690248,0.03473297426743167,-0.018180091998406867,0.00437711037734978,0.015724561144259883,0.00437711037734978,0
2015-04-17,27653.119140625,27969.41015625,27597.6796875,27808.240234375,3105800000.0,-0.2977891955524683,0.017746350594929277,-0.3155355461473976,-0.003121582523700317,0.01612427046953109,-0.003121582523700317,0
2015-04-20,27094.9296875,27770.7890625,26959.76953125,27770.7890625,3375900000.0,-0.8697770647704601,-0.10650751580085073,-0.7632695489696094,-0.020185406582397758,0.018868609286652162,-0.020185406582397758,1
2015-04-21,27850.490234375,27925.359375,27404.150390625,27404.150390625,2737800000.0,0.0,-0.10650751580085073,0.10650751580085073,0.027885680294773785,0.019895843928260715,0.027885680294773785,1
2015-04-22,27933.849609375,28048.4609375,27727.859375,27821.3203125,2367900000.0,-0.2977891955524683,-0.15912523187164748,-0.13866396368082082,0.0029931026096305935,0.017314189679204853,0.0029931026096305935,0
2015-04-23,27827.69921875,28213.630859375,27804.029296875,28112.380859375,2442200000.0,-0.8473113998770714,-0.3146522160885589,-0.5326591837885124,-0.003800063081508598,0.015936380063623638,-0.003800063081508598,1
2015-04-24,28060.98046875,28089.369140625,27591.5703125,27978.390625,2414000000.0,0.0165528822690248,-0.3256515844592026,0.3422044667282274,0.008383059201776177,0.015747022580645927,0.008383059201776177,1
2015-04-27,28433.58984375,28588.51953125,28245.140625,28245.140625,2790100000.0,0.164381911046803,-0.3045331517766629,0.4689150628234659,0.013278558652465966,0.013853832172983149,0.013278558652465966,1
2015-04-28,28442.75,28548.44921875,28251.990234375,28448.220703125,3045500000.0,0.2183638457208871,-0.2307970030233264,0.44916084874421347,0.0003221596815716765,0.012403515844696908,0.0003221596815716765,0
2015-04-29,28400.33984375,28453.099609375,28201.759765625,28453.099609375,2094900000.0,0.0,-0.10654313662754636,0.10654313662754636,-0.0014910708792222893,0.012491122957707077,-0.0014910708792222893,0
2015-04-30,28133.0,28317.869140625,27997.900390625,28289.140625,2561300000.0,0.1705440394580364,-0.08217970241925546,0.25272374187729185,-0.009413262137735745,0.013054083518990501,-0.009413262137735745,0
2015-05-04,28123.8203125,28343.740234375,28017.19921875,28231.259765625,1999700000.0,-0.8585442323237658,-0.1622875648151551,-0.6962566675086106,-0.0003262960757829392,0.012974162528985788,-0.0003262960757829392,0
2015-05-05,27755.5390625,28316.630859375,27598.169921875,28295.720703125,2292700000.0,0.0,-0.041243079118430614,0.041243079118430614,-0.013094993706680436,0.011780099631426068,-0.013094993706680436,0
2015-05-06,27640.91015625,28054.6796875,27570.41015625,27698.099609375,2265500000.0,-0.1676499973982572,-0.06755777621375661,-0.10009222118450059,-0.004129947034783865,0.007776569473973524,-0.004129947034783865,0
2015-05-07,27289.970703125,27604.490234375,27207.279296875,27567.619140625,1894800000.0,-0.3496165126562118,-0.14098612245704442,-0.20863039019916738,-0.01269637834431614,0.008492210175803093,-0.01269637834431614,1
2015-05-08,27577.33984375,27652.619140625,27367.109375,27557.51953125,1817600000.0,0.3122109398245811,-0.1275793947279453,0.43979033455252636,0.010530210667910156,0.009373699027394851,0.010530210667910156,1
2015-05-11,27718.19921875,27837.279296875,27582.23046875,27837.0390625,1541000000.0,-0.4456182243302464,-0.19123914106083764,-0.2543790832694087,0.0051077941454140685,0.009066905160744433,0.0051077941454140685,0
